Reading data until stopped:
Time;airTMP;soilTMP;airHUM;soilHUM;light
265;18.2;19.8;28.8;99.2;3.5;
266;18.3;19.5;28.8;99.2;4.1;
267;18.2;19.6;28.8;99.2;3.5;
268;18.3;19.6;28.8;99.2;4.1;
269;18.3;19.6;28.8;99.3;3.5;
270;18.3;19.4;28.8;99.3;4.1;
271;18.2;19.6;28.8;99.3;3.3;
272;18.2;19.7;28.8;99.2;4.1;
273;18.2;19.8;28.8;99.3;3.7;
274;18.3;19.7;28.8;99.3;3.8;
275;18.2;19.6;28.8;99.3;3.5;
276;18.2;19.8;28.8;99.3;4.1;
277;18.2;19.6;28.8;99.3;3.7;
278;18.2;19.8;28.9;99.3;3.9;
279;18.2;19.2;28.9;99.3;3.5;
280;18.3;19.5;28.9;99.3;4.1;
281;18.3;19.7;28.9;99.3;3.4;
282;18.2;19.8;28.9;99.3;4.1;
283;18.3;19.7;28.9;99.3;3.5;
284;18.3;19.6;28.9;99.2;4.1;
285;18.3;19.7;28.9;99.2;3.4;
286;18.3;19.9;28.9;99.2;3.9;
287;18.3;19.9;28.9;99.2;3.5;
288;18.3;19.8;28.9;99.2;3.9;
289;18.3;19.7;28.9;99.2;3.5;
290;18.3;19.7;28.9;99.2;3.9;
291;18.3;19.6;28.9;99.2;3.5;
292;18.3;19.5;28.9;99.2;4.1;
293;18.3;19.7;28.9;99.3;3.5;
294;18.3;19.6;28.9;99.2;4.1;
295;18.3;19.7;28.9;99.3;3.5;
296;18.3;19.6;28.9;99.3;4.1;
297;18.3;19.9;28.9;99.3;3.7;
298;18.3;19.7;28.9;99.3;4.1;
299;18.3;19.8;28.9;99.3;3.5;
300;18.3;19.8;28.9;99.2;3.9;
301;18.3;19.8;28.9;99.3;3.5;
302;18.3;19.9;28.9;99.3;3.9;
303;18.3;19.8;28.9;99.3;3.5;
304;18.3;19.6;28.9;99.3;4.2;
305;18.3;19.6;28.9;99.3;3.4;
306;18.2;20.0;28.9;99.3;4.1;
307;18.2;19.8;28.9;99.2;3.5;
308;18.3;19.8;28.9;99.3;4.1;
309;18.3;19.8;28.9;99.2;3.5;
310;18.3;19.1;28.9;99.2;4.1;
311;18.2;19.7;28.9;99.2;3.5;
312;18.3;19.8;28.9;99.3;4.1;
313;18.3;19.5;28.9;99.2;3.5;
314;18.3;19.8;28.9;99.2;3.9;
315;18.3;19.4;28.8;99.2;3.5;
316;18.3;19.6;28.8;99.2;4.2;
317;18.2;19.7;28.8;99.2;3.4;
318;18.3;19.5;28.8;99.2;3.9;
319;18.2;19.5;28.8;99.3;3.5;
320;18.3;19.7;28.8;99.3;3.9;
321;18.3;19.8;28.8;99.3;3.5;
322;18.2;19.6;28.8;99.3;3.9;
323;18.2;19.6;28.8;99.3;3.5;
324;18.2;19.7;28.8;99.3;3.9;
325;18.2;19.8;28.8;99.3;3.5;
326;18.3;19.6;28.8;99.3;4.1;
327;18.3;19.7;28.8;99.2;3.5;
328;18.2;19.3;28.8;99.3;4.2;
329;18.2;19.5;28.8;99.3;3.5;
330;18.2;19.7;28.8;99.3;4.1;
331;18.2;19.7;28.8;99.3;3.5;
332;18.2;19.7;28.8;99.3;3.9;
333;18.3;19.7;28.8;99.3;3.5;
334;18.3;19.6;28.8;99.3;4.1;
335;18.2;19.8;28.8;99.3;3.7;
336;18.2;19.6;28.8;99.2;4.1;
337;18.3;19.9;28.8;99.2;3.5;
338;18.3;19.6;28.8;99.2;4.2;
339;18.3;19.4;28.8;99.2;3.5;
340;18.2;19.4;28.8;99.2;3.9;
341;18.2;19.7;28.8;99.2;3.5;
342;18.2;19.5;28.8;99.2;4.1;
343;18.2;19.6;28.8;99.2;3.5;
344;18.2;19.9;28.8;99.2;4.1;
345;18.2;19.5;28.8;99.2;3.4;
346;18.2;19.6;28.8;99.2;3.9;
347;18.2;19.8;28.8;99.2;3.7;
348;18.3;19.4;28.8;99.2;4.1;
349;18.2;19.5;28.8;99.2;3.8;
350;18.2;19.3;28.8;99.2;4.1;
351;18.2;19.4;28.8;99.2;3.7;
352;18.2;19.6;28.8;99.3;4.1;
353;18.2;19.7;28.8;99.3;3.5;
354;18.2;19.8;28.8;99.2;4.1;
355;18.2;19.6;28.8;99.3;3.5;
356;18.2;19.5;28.8;99.3;3.9;
357;18.2;19.7;28.8;99.3;3.5;
358;18.2;19.5;28.8;99.3;4.1;
359;18.2;19.6;28.8;99.3;3.4;
360;18.2;19.7;28.8;99.3;3.9;
361;18.2;19.8;28.8;99.3;3.5;
362;18.2;19.3;28.8;99.3;4.1;
363;18.2;19.6;28.8;99.3;3.5;
364;18.2;19.7;28.8;99.3;4.1;
365;18.2;19.4;28.8;99.3;3.5;
366;18.2;19.5;28.8;99.2;3.9;
367;18.2;19.7;28.8;99.2;3.7;
368;18.2;19.6;28.8;99.2;4.1;
369;18.2;19.4;28.8;99.3;3.5;
370;18.2;19.9;28.8;99.2;4.1;
371;18.3;19.6;28.8;99.2;3.5;
372;18.2;19.8;28.8;99.2;4.1;
373;18.2;19.7;28.7;99.2;3.7;
374;18.2;19.4;28.7;99.2;4.2;
375;18.2;19.6;28.7;99.2;3.7;
376;18.2;19.7;28.7;99.2;4.1;
377;18.2;19.5;28.7;99.2;3.4;
378;18.2;19.9;28.7;99.2;3.8;
379;18.2;19.7;28.7;99.2;3.7;
380;18.2;19.7;28.7;99.2;4.1;
381;18.2;19.8;28.7;99.3;3.5;
382;18.2;19.6;28.7;99.3;4.1;
383;18.2;19.8;28.7;99.3;3.5;
384;18.2;19.6;28.7;99.3;4.1;
385;18.2;19.6;28.7;99.2;3.7;
386;18.2;19.7;28.7;99.3;4.1;
387;18.2;19.6;28.7;99.3;3.5;
388;18.2;19.6;28.7;99.2;4.1;
389;18.2;19.6;28.8;99.3;3.4;
390;18.2;19.5;28.8;99.3;4.1;
391;18.2;19.5;28.8;99.3;3.4;
392;18.2;19.7;28.8;99.3;4.2;
393;18.2;19.8;28.8;99.3;3.5;
394;18.2;19.5;28.8;99.3;4.1;
395;18.2;19.6;28.8;99.2;3.5;
396;18.2;19.9;28.8;99.3;4.1;
397;18.2;19.5;28.8;99.3;3.5;
398;18.2;19.5;28.8;99.3;3.9;
399;18.2;19.5;28.8;99.3;3.7;
400;18.2;19.6;28.8;99.3;3.9;
401;18.2;19.4;28.8;99.3;3.4;
402;18.2;19.4;28.8;99.3;3.9;
403;18.2;19.8;28.8;99.3;3.5;
404;18.2;19.4;28.8;99.3;4.1;
405;18.2;19.7;28.8;99.3;3.7;
406;18.2;19.5;28.8;99.2;4.1;
407;18.2;19.9;28.8;99.3;3.5;
408;18.2;19.5;28.8;99.2;4.1;
409;18.2;19.9;28.8;99.2;3.7;
410;18.2;19.6;28.8;99.2;4.2;
